"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_002E","B25004_002M","B25004_003E","B25004_003M","B25004_004E","B25004_004M","B25004_005E","B25004_005M","B25004_006E","B25004_006M","B25004_007E","B25004_007M","B25004_008E","B25004_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant",
"1400000US36001012800","Census Tract 128, Albany County, New York","467","184","23","36","20","32","0","13","0","13","0","13","0","13","424","198",
"1400000US36001012900","Census Tract 129, Albany County, New York","354","136","148","116","74","65","0","13","0","13","0","13","0","13","132","96",
"1400000US36001013000","Census Tract 130, Albany County, New York","252","161","46","73","0","18","0","18","0","18","0","18","0","18","206","138",
"1400000US36001013100","Census Tract 131, Albany County, New York","211","106","33","54","33","52","28","45","0","13","0","13","0","13","117","84",
"1400000US36001013200","Census Tract 132, Albany County, New York","232","114","42","48","0","13","29","45","0","13","0","13","0","13","161","95",
"1400000US36001013300","Census Tract 133, Albany County, New York","242","144","79","63","37","58","0","13","0","13","32","53","0","13","94","97",
"1400000US36001013400","Census Tract 134, Albany County, New York","251","99","0","13","0","13","41","38","0","13","28","44","0","13","182","99",
"1400000US36001013503","Census Tract 135.03, Albany County, New York","22","37","0","18","22","37","0","18","0","18","0","18","0","18","0","18",
"1400000US36001013505","Census Tract 135.05, Albany County, New York","55","42","0","13","0","13","0","13","0","13","7","13","0","13","48","41",
"1400000US36001013507","Census Tract 135.07, Albany County, New York","57","66","31","49","26","41","0","13","0","13","0","13","0","13","0","13",
